"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"19246","LOC105373508",0,NA,NA,NA,NA
"19247","LOC105373510",2.81887230498722,0.00277727011395026,0.0880126627256393,0.607933906564003,NA
"19248","LOC105373511",39.6681125669204,0.00454672061966919,0.0858583189379677,0.821719598442091,NA
"19249","LOC105373512",1.20424238212339,-0.00439504031661121,0.0882118491528393,0.206457485830471,NA
"19250","LOC105373514",0,NA,NA,NA,NA
"19251","LOC105373520",0,NA,NA,NA,NA
"19252","LOC105373521",0,NA,NA,NA,NA
"19253","LOC105373522",0,NA,NA,NA,NA
"19254","LOC105373523",0,NA,NA,NA,NA
"19255","LOC105373524",0,NA,NA,NA,NA
"19256","LOC105373525",0,NA,NA,NA,NA
"19257","LOC105373526",0,NA,NA,NA,NA
"19258","LOC105373527",3.17491037201921,0.00620786552789979,0.0882628651814565,0.273477789365904,NA
"19259","LOC105373528",0,NA,NA,NA,NA
"19260","LOC105373529",0.202840989334563,-0.00108991767016855,0.0881130110604093,0.746531066691514,NA
"19261","LOC105373530",0,NA,NA,NA,NA
"19262","LOC105373531",2.01683017771204,-0.00322743948058242,0.0880771478307058,0.489528918945976,NA
"19263","LOC105373534",0.192217800958564,0.00067556405067332,0.0881085894483592,0.837474598311692,NA
"19264","LOC105373535",0,NA,NA,NA,NA
"19265","LOC105373539",0,NA,NA,NA,NA
"19266","LOC105373545",0,NA,NA,NA,NA
"19267","LOC105373547",0,NA,NA,NA,NA
"19268","LOC105373548",0,NA,NA,NA,NA
"19269","LOC105373549",0,NA,NA,NA,NA
"19270","LOC105373551",0,NA,NA,NA,NA
"19271","LOC105373552",0.806802107220899,-0.0021557155029278,0.0881090548148716,0.446465925205965,NA
"19272","LOC105373553",0,NA,NA,NA,NA
"19273","LOC105373554",1.59405844493247,-0.00144854422883028,0.0880243473264887,0.735486254501843,NA
"19274","LOC105373559",0.204135643342458,0.000685711369673061,0.0881087752868939,0.837474598311692,NA
"19275","LOC105373560",0.200660623826578,-0.00108687027887437,0.0881129383326765,0.74786877943566,NA
"19276","LOC105373562",0.801149711470058,0.00100488459523248,0.0880763573547261,0.71787796473418,NA
"19277","LOC105373563",0.396558278434419,0.00107768530772951,0.08811313692877,0.643984719723197,NA
"19278","LOC105373567",1.00399070080462,-2.48605184198489e-05,0.0880448307983405,0.994188983461789,NA
"19279","LOC105373570",0.200660623826578,-0.00108687027887437,0.0881129383326765,0.74786877943566,NA
"19280","LOC105373572",0,NA,NA,NA,NA
"19281","LOC105373574",0,NA,NA,NA,NA
"19282","LOC105373575",0,NA,NA,NA,NA
"19283","LOC105373576",0,NA,NA,NA,NA
"19284","LOC105373578",0.605456890995614,-0.0012520502233733,0.088090146671897,0.626065723989258,NA
"19285","LOC105373579",0,NA,NA,NA,NA
"19286","LOC105373581",7.37070080561108,0.0103538811617651,0.0885852118762671,0.238759369704504,NA
"19287","LOC105373582",22.3320891159077,0.0164099231938166,0.0891385690610446,0.256981192583639,NA
"19288","LOC105373583",0.989892492912741,-4.15995691906374e-05,0.0880515814797524,0.989767376178647,NA
"19289","LOC105373584",0,NA,NA,NA,NA
"19290","LOC105373585",0.808297880330177,-0.00244597238321788,0.0881131075839887,0.416073910162676,NA
"19291","LOC105373587",0,NA,NA,NA,NA
"19292","LOC105373588",1.19313943548208,-0.0025714232310646,0.0880977462372788,0.471966149802463,NA
"19293","LOC105373590",2.00341656221886,-0.00383383457912473,0.0880930186394709,0.447399134759403,NA
"19294","LOC105373591",11.8274018394006,-0.00959416535921998,0.0881073690932684,0.406877307794215,NA
"19295","LOC105373592",54.3755439636125,-0.0116513865551569,0.0858796715412336,0.612175832903326,NA
"19296","LOC105373593",1.59126729205631,0.000273851053402292,0.0880128284390515,0.949073177821853,NA
"19297","LOC105373594",0,NA,NA,NA,NA
"19298","LOC105373595",1.2152745130072,-0.00267641197231953,0.0880978413399707,0.466211143414222,NA
"19299","LOC105373596",0,NA,NA,NA,NA
"19300","LOC105373598",0,NA,NA,NA,NA
"19301","LOC105373601",0,NA,NA,NA,NA
"19302","LOC105373602",0.19827913921721,0.000680760553039877,0.0881086841832192,0.837474598311692,NA
"19303","LOC105373603",0,NA,NA,NA,NA
"19304","LOC105373604",1.19750016649806,-0.00299822313247172,0.0881058825427294,0.437458494352003,NA
"19305","LOC105373605",11.4118550697847,-0.00415711224358673,0.0875205670370802,0.710074439343461,NA
"19306","LOC105373608",12.3139186622158,0.0239996990095402,0.0924042386563489,0.0274057477188672,NA
"19307","LOC105373609",0,NA,NA,NA,NA
"19308","LOC105373610",0.202840989334563,-0.00108991767016855,0.0881130110604093,0.746531066691514,NA
"19309","LOC105373611",0,NA,NA,NA,NA
"19310","LOC105373612",2.58048262263438,0.00394069664239267,0.0880935716697046,0.447990490414405,NA
"19311","LOC105373613",8.18117533641723,0.00585415106381486,0.0878907880710899,0.536686407480145,NA
"19312","LOC105373614",0,NA,NA,NA,NA
"19313","LOC105373616",1.59882141415121,-0.00507503726289413,0.088229109914814,0.243775864189769,NA
"19314","LOC105373618",2.39302779089455,-0.00043491889301045,0.087951795198179,0.933289708056756,NA
"19315","LOC105373622",0,NA,NA,NA,NA
"19316","LOC105373623",4.16002648710313,-0.00434789840638311,0.0880161429735896,0.515990464990971,NA
"19317","LOC105373627",0.403501613161141,-0.0019602742718443,0.0881296650298945,0.484388345203557,NA
"19318","LOC105373628",0,NA,NA,NA,NA
"19319","LOC105373629",0,NA,NA,NA,NA
"19320","LOC105373633",0.200660623826578,-0.00108687027887437,0.0881129383326765,0.74786877943566,NA
"19321","LOC105373634",0,NA,NA,NA,NA
